etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts,class
0.0,0.0,69.0,107.0,160.0,196.0,36.0,2096.0,0.0,38645256.0,1496080.0,0.0,0.0,0.0,0.0,3444.0,0.0,90.0,0.0,0.0,57.0,2066.0,normal
0.0,0.0,93.0,126.0,170.0,196.0,36.0,2095.0,0.0,38070536.0,1900096.0,0.0,0.0,0.0,0.0,3404.0,0.0,105.0,0.0,0.0,117.0,2043.0,normal
0.0,0.0,73.0,104.0,160.0,179.0,34.0,2079.0,0.0,38745808.0,1441168.0,0.0,0.0,0.0,0.0,3456.0,0.0,73.0,0.0,0.0,56.0,2050.0,normal
0.0,0.0,77.0,106.0,162.0,171.0,35.0,2068.0,0.0,38311176.0,1475856.0,0.0,0.0,0.0,0.0,3422.0,0.0,76.0,0.0,0.0,57.0,2040.0,normal
0.0,0.0,69.0,105.0,156.0,169.0,32.0,1948.0,0.0,36386912.0,1378992.0,0.0,0.0,0.0,0.0,3248.0,0.0,68.0,0.0,0.0,52.0,1934.0,normal
0.0,0.0,73.0,125.0,165.0,190.0,38.0,2140.0,0.0,38958688.0,1469696.0,0.0,0.0,0.0,1.0,3476.0,0.0,122.0,0.0,0.0,54.0,2087.0,normal
0.0,0.0,74.0,112.0,158.0,188.0,35.0,4017.0,0.0,38463080.0,2494528.0,0.0,0.0,0.0,0.0,3430.0,0.0,81.0,0.0,0.0,52.0,3998.0,normal
0.0,0.0,67.0,112.0,159.0,174.0,32.0,2111.0,0.0,36309480.0,1458576.0,0.0,0.0,0.0,0.0,3243.0,0.0,73.0,0.0,0.0,59.0,2093.0,normal
0.0,0.0,69.0,109.0,154.0,184.0,36.0,2072.0,0.0,38752952.0,1364176.0,0.0,0.0,0.0,0.0,3457.0,0.0,75.0,0.0,0.0,48.0,2047.0,normal
0.0,0.0,68.0,108.0,157.0,192.0,33.0,2057.0,0.0,38215912.0,1397984.0,0.0,0.0,0.0,0.0,3411.0,0.0,75.0,0.0,0.0,56.0,2031.0,normal
0.0,0.0,72.0,112.0,165.0,178.0,35.0,2075.0,0.0,38704952.0,1450408.0,0.0,0.0,0.0,0.0,3454.0,0.0,73.0,0.0,0.0,55.0,2057.0,normal
0.0,0.0,71.0,130.0,175.0,171.0,37.0,2063.0,0.0,38413688.0,1466408.0,0.0,0.0,0.0,0.0,3436.0,0.0,79.0,0.0,0.0,56.0,2056.0,normal
0.0,0.0,66.0,114.0,175.0,163.0,33.0,1954.0,0.0,36687880.0,1364320.0,0.0,0.0,0.0,0.0,3279.0,0.0,69.0,0.0,0.0,49.0,1954.0,normal
0.0,0.0,68.0,123.0,178.0,160.0,36.0,2065.0,0.0,38249552.0,1424216.0,0.0,0.0,0.0,0.0,3424.0,0.0,75.0,0.0,0.0,56.0,2046.0,normal
0.0,0.0,68.0,115.0,175.0,163.0,39.0,2038.0,0.0,37863160.0,1388440.0,0.0,0.0,0.0,0.0,3387.0,0.0,80.0,0.0,0.0,52.0,2015.0,normal
0.0,0.0,72.0,114.0,179.0,158.0,39.0,2081.0,0.0,38055744.0,1390512.0,0.0,0.0,0.0,0.0,3406.0,0.0,114.0,0.0,0.0,52.0,2023.0,normal
0.0,0.0,64.0,110.0,164.0,156.0,35.0,1939.0,0.0,35925656.0,1312584.0,0.0,0.0,0.0,0.0,3212.0,0.0,80.0,0.0,0.0,49.0,1913.0,normal
0.0,0.0,68.0,124.0,176.0,170.0,41.0,2038.0,0.0,37719968.0,1403632.0,0.0,0.0,0.0,0.0,3379.0,0.0,82.0,0.0,0.0,57.0,2024.0,normal
0.0,0.0,67.0,124.0,174.0,162.0,38.0,2011.0,0.0,37411000.0,1356704.0,0.0,0.0,0.0,0.0,3348.0,0.0,76.0,0.0,0.0,46.0,2004.0,normal
0.0,0.0,71.0,110.0,177.0,164.0,36.0,2066.0,0.0,38433840.0,1387088.0,0.0,0.0,0.0,0.0,3432.0,0.0,80.0,0.0,0.0,54.0,2035.0,normal
0.0,0.0,72.0,114.0,180.0,170.0,34.0,2064.0,0.0,38400120.0,1417472.0,0.0,0.0,0.0,2.0,3431.0,0.0,73.0,0.0,0.0,62.0,2044.0,normal
0.0,0.0,69.0,103.0,160.0,164.0,34.0,1948.0,0.0,35880104.0,1316528.0,0.0,0.0,0.0,0.0,3208.0,0.0,82.0,0.0,0.0,56.0,1909.0,normal
0.0,0.0,71.0,107.0,172.0,176.0,46.0,2114.0,0.0,38413256.0,1431608.0,0.0,0.0,0.0,0.0,3431.0,0.0,118.0,0.0,0.0,49.0,2059.0,normal
0.0,0.0,69.0,118.0,166.0,163.0,38.0,2051.0,0.0,37600920.0,1342984.0,0.0,0.0,0.0,0.0,3365.0,0.0,96.0,0.0,0.0,56.0,1999.0,normal
0.0,0.0,64.0,111.0,159.0,161.0,32.0,1932.0,0.0,35858800.0,1273216.0,0.0,0.0,0.0,0.0,3211.0,0.0,71.0,0.0,0.0,49.0,1905.0,normal
0.0,0.0,72.0,115.0,174.0,160.0,34.0,2030.0,0.0,38109152.0,1344232.0,0.0,0.0,0.0,0.0,3407.0,0.0,75.0,0.0,0.0,50.0,2007.0,normal
0.0,0.0,73.0,109.0,182.0,161.0,34.0,2030.0,0.0,37971464.0,1354280.0,0.0,0.0,0.0,0.0,3396.0,0.0,75.0,0.0,0.0,57.0,2002.0,normal
0.0,0.0,70.0,113.0,173.0,168.0,34.0,2041.0,0.0,37902800.0,1370032.0,0.0,0.0,0.0,0.0,3389.0,0.0,77.0,0.0,0.0,58.0,2008.0,normal
0.0,0.0,68.0,106.0,165.0,153.0,31.0,1916.0,0.0,35786128.0,1266720.0,0.0,0.0,0.0,0.0,3205.0,0.0,68.0,0.0,0.0,47.0,1895.0,normal
0.0,0.0,72.0,112.0,162.0,170.0,33.0,2026.0,0.0,37803840.0,1345912.0,0.0,0.0,0.0,0.0,3377.0,0.0,75.0,0.0,0.0,53.0,1996.0,normal
0.0,0.0,72.0,118.0,167.0,163.0,34.0,2057.0,0.0,37911328.0,1349968.0,0.0,0.0,0.0,0.0,3391.0,0.0,99.0,0.0,0.0,58.0,1996.0,normal
0.0,0.0,72.0,111.0,174.0,163.0,34.0,2070.0,0.0,38306848.0,1367048.0,0.0,0.0,0.0,0.0,3420.0,0.0,91.0,0.0,0.0,52.0,2028.0,normal
