etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts,cpu.1min,cpu.5min,cpu.5sec,class
0,0,0,448,8,1,41,162,0,16296,975960,0,0,0,0,11,0,101,0,0,462,84,30.0,26.0,29.0,normal
0,0,0,427,7,1,40,155,0,16984,939944,0,0,0,0,11,0,96,0,0,450,79,30.0,29.0,29.0,normal
0,0,0,431,10,3,40,155,0,9832,985016,0,0,0,0,7,0,94,0,0,452,82,30.0,30.0,31.0,normal
0,0,0,440,7,3,43,151,0,12928,939248,0,0,0,0,8,0,96,0,0,462,77,30.0,30.0,29.0,normal
0,0,0,453,9,2,45,172,0,28352,1029576,0,0,0,0,16,0,103,0,0,469,97,30.0,30.0,30.0,normal
0,0,0,443,7,3,40,156,0,19344,972424,0,0,0,0,14,0,95,0,0,455,84,30.0,30.0,30.0,normal
0,0,0,436,9,2,41,155,0,21712,976952,0,0,0,0,14,0,96,0,0,442,98,30.0,30.0,30.0,normal
0,0,0,432,9,3,41,177,0,20216,976664,0,0,0,0,10,0,105,0,0,460,82,30.0,30.0,31.0,normal
0,0,0,440,10,2,40,143,0,3856,988584,0,0,0,0,2,0,98,0,0,453,71,30.0,30.0,31.0,normal
0,0,0,442,12,7,38,163,0,21184,1000200,0,0,0,0,14,0,97,0,0,486,82,30.0,30.0,30.0,normal
0,0,0,423,11,1,40,158,0,15088,978696,0,0,0,0,10,0,99,0,0,441,83,30.0,30.0,29.0,normal
0,0,0,441,10,2,45,152,0,3424,934648,0,0,0,0,2,0,98,0,0,464,77,30.0,30.0,30.0,normal
0,0,0,424,9,2,43,149,0,11240,988744,0,0,0,0,7,0,99,0,0,453,78,24.0,29.0,11.0,normal
0,0,0,430,8,4,43,154,0,11592,947064,0,0,0,0,7,0,98,0,0,457,78,15.0,27.0,8.0,normal
0,0,0,441,9,3,46,166,0,17032,983896,0,0,0,0,9,0,106,0,0,473,77,9.0,25.0,5.0,normal
0,0,0,438,6,1,41,153,0,17168,954360,0,0,0,0,11,0,96,0,0,454,80,6.0,22.0,6.0,normal
0,0,0,433,9,2,42,148,0,21224,945232,0,0,0,0,14,0,97,0,0,444,80,6.0,20.0,6.0,normal
0,0,0,446,7,4,43,163,0,26872,977560,0,0,0,0,16,0,99,0,0,468,82,6.0,17.0,5.0,normal
0,0,0,453,9,1,42,166,0,24728,986496,0,0,0,0,17,0,102,0,0,462,92,6.0,15.0,8.0,normal
0,0,0,447,8,2,45,156,0,21352,978952,0,0,0,0,14,0,101,0,0,461,83,6.0,13.0,8.0,normal
0,0,0,411,10,3,44,154,0,2952,946168,0,0,0,0,2,0,100,0,0,450,71,6.0,10.0,6.0,normal
0,0,0,443,8,1,42,159,0,21280,977744,0,0,0,0,14,0,96,0,0,458,87,6.0,8.0,6.0,normal
0,0,0,451,12,2,46,163,0,21264,1006424,0,0,0,0,14,0,102,0,0,462,96,7.0,7.0,6.0,normal
0,0,0,455,12,7,45,182,0,21240,1050552,0,0,0,0,15,0,115,0,0,476,96,7.0,6.0,6.0,normal
0,0,0,441,9,5,49,195,0,27968,1011464,0,0,0,0,16,0,132,0,0,464,88,7.0,6.0,8.0,normal
0,0,0,432,9,3,41,158,0,21328,956664,0,0,0,0,14,0,104,0,0,445,81,6.0,6.0,5.0,normal
0,0,0,440,8,1,42,153,0,19616,955960,0,0,0,0,14,0,99,0,0,453,80,6.0,6.0,6.0,normal
0,0,0,444,31,5,59,164,0,26312,1065488,0,0,0,0,15,0,114,0,0,465,110,7.0,6.0,11.0,normal
0,0,0,459,146,4,43,169,0,3896,1494592,0,0,0,0,2,0,102,0,0,470,251,10.0,7.0,5.0,normal
0,0,0,441,83,4,42,168,0,2440,1249760,0,0,0,0,1,0,98,0,0,454,187,9.0,7.0,7.0,normal
